source,external_id,url,title,property_type,operation_type,price,currency,expenses,address,neighborhood,city,province,latitude,longitude,total_area,covered_area,rooms,bedrooms,bathrooms,garages,age,publisher,published_at,scraped_at
argenprop,departamento-en-alquiler-en-palermo-2-ambientes--3756669,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--3756669,"2 AMBIENTES, BALCON CORRIDO EXELENTE EDIFICIO CON AMENITIS",apartment,rent,850000.0,ARS,,"Av. Cordoba 5100, Piso 4",,,Buenos Aires,,,42.0,,,1,,,,,,2025-12-12 00:59:07.651587
argenprop,departamento-en-alquiler-en-las-canitas-3-ambientes--18575522,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--18575522,MODERNO 3 AMBIENTES CON BALCON + TERRAZA+ COCHERA EN EDIFICIO FULL AMENITIES,apartment,rent,1700000.0,ARS,,"CLAY 2800, Piso 12",,,Buenos Aires,,,67.0,,,2,,,,,,2025-12-12 00:59:07.665641
argenprop,departamento-en-alquiler-en-las-canitas-2-ambientes--18671154,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--18671154,Alquilo semipiso de 2 ambientes amplios – Frente al Solar de la Abadía,apartment,rent,950000.0,ARS,,"Maure 1700, Piso 3",,,Buenos Aires,,,51.0,,,1,,,,,,2025-12-12 00:59:07.675537
argenprop,departamento-en-alquiler-en-palermo-3-ambientes--18506631,https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--18506631,Departamento 3 ambientes ubicado a 3 cuadras del AltoPalermo,apartment,rent,950000.0,ARS,,"Mansilla 3400, Piso 4",,,Buenos Aires,,,50.0,,,2,,,,,,2025-12-12 00:59:07.685476
argenprop,departamento-en-alquiler-en-palermo-soho-2-ambientes--18455206,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-2-ambientes--18455206,"Baño, cocina y pisos reciclados. Balcón al frente",apartment,rent,830000.0,ARS,,"Thames 2200, Piso 3",,,Buenos Aires,,,37.0,,,1,,,,,,2025-12-12 00:59:07.695702
argenprop,departamento-en-alquiler-en-palermo-viejo-1-ambiente--18114368,https://www.argenprop.com/departamento-en-alquiler-en-palermo-viejo-1-ambiente--18114368,Excel monoamb cfte bcon SUM piscina gym parrilla vigilancia,apartment,rent,490000.0,ARS,,"Gurruchaga 1100, Piso 2",,,Buenos Aires,,,32.0,,,,1,,,,,2025-12-12 00:59:07.705951
argenprop,departamento-en-alquiler-en-palermo-2-ambientes--18390574,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18390574,Departamento dueño directo en Palermo muy luminoso recien refaccionado,apartment,rent,520000.0,ARS,,"Gorriti 4400, Piso 7",,,Buenos Aires,,,30.0,,,1,,,,,,2025-12-12 00:59:07.716407
argenprop,departamento-en-alquiler-en-palermo-2-ambientes--16381059,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--16381059,Semipiso contrafrente muy luminoso.Excelentes medios de comunicación,apartment,rent,580000.0,ARS,,"Gallo 900, Piso 3",,,Buenos Aires,,,46.0,,,1,1,,,,,2025-12-12 00:59:07.727292
argenprop,departamento-en-alquiler-en-palermo--16150814,https://www.argenprop.com/departamento-en-alquiler-en-palermo--16150814,Departamento en alquiler en Palermo monoambiente contrafrente balcon,apartment,rent,450000.0,ARS,,"Gallo 900, Piso 2",,,Buenos Aires,,,,,,,,,,,,2025-12-12 00:59:07.742274
argenprop,departamento-en-alquiler-en-palermo-2-ambientes--18636606,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18636606,Atractivo departamento en Parque Las Heras,apartment,rent,650000.0,ARS,,Billinghurst 2400,,,Buenos Aires,,,,,2,1,1,,,,,2025-12-12 00:59:07.751921
